room,seats,free_from,free_until,type,fit,reservation
CHN C 014,172,12:00,16:00,Lecture hall,good,raumreservation@ethz.ch
ML F 036,123,13:00,20:00,Lecture hall,good,raumreservation@ethz.ch
HG G 060,95,08:00,22:00,Multipurpose room,good,raumreservation@ethz.ch
NO D 045,80,08:00,20:00,Seminars / Courses,no info,"focusTerra, 044 632 6281"
HG G 019.1,58,10:00,22:00,Seminars / Courses,medium,Departementssekretariat D-MATH
HG E 041,50,12:00,16:00,Seminars / Courses,bad,raumreservation@ethz.ch
HG F 033.1,42,12:00,16:00,Meeting room,medium,raumreservation@ethz.ch
HG K 030.1,40,08:00,16:00,Seminars / Courses,bad,dellacasa@mavt.ethz.ch
LEE E 308,40,08:00,20:00,Multipurpose room,medium,dellacasa@mavt.ethz.ch
HG F 033.5,36,12:00,16:00,Meeting room,bad,raumreservation@ethz.ch
HG G 019.2,36,08:00,22:00,Seminars / Courses,medium,Departementssekretariat D-MATH
NO D 039,32,14:00,20:00,Seminars / Courses,no info,esther.scharnhorst@usys.ethz.ch
ZUE G 001,30,open,end of day,Lecture hall,no info,tnetland@ethz.ch
IFW E 042,24,08:00,20:00,Seminars / Courses,bad,Raumreservierung D-GESS
NO D 001,24,10:00,16:00,Seminars / Courses,bad,stephen.arpagaus@eaps.ethz.ch
CLA J 001,22,12:30,20:00,Meeting room,bad,raumreservation@ethz.ch
CHN P 012,20,08:00,17:00,Meeting room,bad,sabine.meens@usys.ethz.ch
ETZ J 064.1,20,08:00,20:00,Meeting room,bad,monika.zwahlen@ethz.ch
ML J 026,20,08:00,20:00,Meeting room,bad,sibylle.kessler@mavt.ethz.ch
