room,building,seats,type,status,free_from,free_until,bookings_that_day
CHN C 014,CHN,172,Lecture hall,FREE,12:00,16:00,00:00-08:00 closed/not bookable; 10:00-12:00 Control Systems; 16:00-17:00 Information Security Lab; 20:00-23:59 closed/not bookable
CHN P 012,CHN,20,Meeting room,FREE,08:00,17:00,00:00-08:00 closed/not bookable; 17:00-19:00 Soil Science Seminar; 20:00-23:59 closed/not bookable
CLA D 011.1,CLA,10,Meeting room,FREE,08:00,20:00,00:00-08:00 closed/not bookable; 20:00-23:59 closed/not bookable
CLA D 015,CLA,6,Meeting room,FREE,08:00,20:00,00:00-08:00 closed/not bookable; 20:00-23:59 closed/not bookable
CLA D 017,CLA,12,Meeting room,FREE,08:00,20:00,00:00-08:00 closed/not bookable; 20:00-23:59 closed/not bookable
CLA D 019,CLA,12,Meeting room,FREE,08:00,20:00,00:00-08:00 closed/not bookable; 20:00-23:59 closed/not bookable
CLA J 001,CLA,22,Meeting room,FREE,12:30,20:00,00:00-08:00 closed/not bookable; 09:00-10:15 Gruppenmeeting Studieninteressierte und BSc-Studierende ; 11:00-12:30 Introductory Meeting Scientific Research ; 20:00-23:59 closed/not bookable
CLA J 003,CLA,8,Meeting room,FREE,11:30,15:00,"00:00-08:00 closed/not bookable; 10:00-11:30 Intervision Gruppe ""SI-Bsc"" ; 15:00-16:00 Legal Training ; 20:00-23:59 closed/not bookable"
CLA J 005,CLA,4,Meeting room,FREE,08:00,20:00,00:00-08:00 closed/not bookable; 20:00-23:59 closed/not bookable
ETF B 005,ETF,,Computer,FREE,08:00,20:00,00:00-08:00 closed/not bookable; 20:00-23:59 closed/not bookable
ETF B 104.1,ETF,,Exercises,FREE,08:00,20:00,00:00-08:00 closed/not bookable; 20:00-23:59 closed/not bookable
ETF C 109,ETF,12,Meeting room,FREE,08:00,20:00,00:00-08:00 closed/not bookable; 20:00-23:59 closed/not bookable
ETF D 110,ETF,12,Seminars / Courses,FREE,08:00,20:00,00:00-08:00 closed/not bookable; 20:00-23:59 closed/not bookable
ETL D 012,ETL,,Laboratory internship,FREE,open,close,
ETL K 025,ETL,16,Meeting room,FREE,open,close,
ETZ E 081,ETZ,26,Meeting room,FREE,12:00,15:00,00:00-08:00 closed/not bookable; 08:00-12:00 Schulklassenbesuch St. Fidelis/Stans; 15:00-18:30 FSM: Sitzung Wissenschaftlicher Ausschuss ; 20:00-23:59 closed/not bookable
