room,seats,free_from,free_until,type
CHN C 014,172,12:00,16:00,Lecture hall
ML F 036,123,13:00,20:00,Lecture hall
HG G 060,95,08:00,22:00,Multipurpose room
NO D 045,80,08:00,20:00,Seminars / Courses
HG G 019.1,58,10:00,22:00,Seminars / Courses
HG E 041,50,12:00,16:00,Seminars / Courses
HG F 033.1,42,12:00,16:00,Meeting room
HG K 030.1,40,08:00,16:00,Seminars / Courses
LEE E 308,40,08:00,20:00,Multipurpose room
HG F 033.5,36,12:00,16:00,Meeting room
HG G 019.2,36,08:00,22:00,Seminars / Courses
NO D 039,32,14:00,20:00,Seminars / Courses
ZUE G 001,30,open,end of day,Lecture hall
IFW E 042,24,08:00,20:00,Seminars / Courses
NO D 001,24,10:00,16:00,Seminars / Courses
CLA J 001,22,12:30,20:00,Meeting room
CHN P 012,20,08:00,17:00,Meeting room
ETZ J 064.1,20,08:00,20:00,Meeting room
ML J 026,20,08:00,20:00,Meeting room
